,filepath,height,width,h / w
0,./landmark_images/train/17.Changdeokgung/15557512489dab60.jpg,279,800,0.349
1,./landmark_images/train/17.Changdeokgung/57cb5ccb927f3e11.jpg,600,800,0.75
2,./landmark_images/train/17.Changdeokgung/799f5d03f19d7585.jpg,600,800,0.75
3,./landmark_images/train/17.Changdeokgung/3c612f3f52f668d3.jpg,257,800,0.321
4,./landmark_images/train/17.Changdeokgung/303019c2f8983208.jpg,447,800,0.559
5,./landmark_images/train/17.Changdeokgung/18f421a8a24c12d8.jpg,600,800,0.75
6,./landmark_images/train/17.Changdeokgung/5bee5075e27dc745.jpg,600,800,0.75
7,./landmark_images/train/17.Changdeokgung/4cd3a1c511e52f35.jpg,436,800,0.545
8,./landmark_images/train/17.Changdeokgung/6c3762803e9b622e.jpg,521,799,0.652
9,./landmark_images/train/17.Changdeokgung/579ae4d6ccc576e1.jpg,533,800,0.666
10,./landmark_images/train/17.Changdeokgung/2be16f15251f84d3.jpg,533,800,0.666
11,./landmark_images/train/17.Changdeokgung/29beca689c593b9b.jpg,533,800,0.666
12,./landmark_images/train/17.Changdeokgung/7191c945a268e040.jpg,600,800,0.75
13,./landmark_images/train/17.Changdeokgung/2ab312d6a5f57a39.jpg,600,800,0.75
14,./landmark_images/train/17.Changdeokgung/4a03510d36573a31.jpg,600,800,0.75
15,./landmark_images/train/17.Changdeokgung/74a9b573fd5efc9d.jpg,533,800,0.666
16,./landmark_images/train/17.Changdeokgung/405e03a02e29104a.jpg,600,800,0.75
17,./landmark_images/train/17.Changdeokgung/311a1e8aba671445.jpg,600,800,0.75
18,./landmark_images/train/17.Changdeokgung/416dffde7c99eb1e.jpg,533,800,0.666
19,./landmark_images/train/17.Changdeokgung/11284fc7838ca96b.jpg,600,800,0.75
20,./landmark_images/train/17.Changdeokgung/31719e2b5d486b96.jpg,600,800,0.75
21,./landmark_images/train/17.Changdeokgung/29ae1ad5d3cea8cc.jpg,346,800,0.432
22,./landmark_images/train/17.Changdeokgung/59a6e7af6ee59bbf.jpg,600,800,0.75
23,./landmark_images/train/17.Changdeokgung/566cffd26a7ae651.jpg,524,800,0.655
24,./landmark_images/train/17.Changdeokgung/08b86fed8271a70f.jpg,467,800,0.584
25,./landmark_images/train/17.Changdeokgung/0f496ae45fe496b6.jpg,534,800,0.668
26,./landmark_images/train/17.Changdeokgung/7b70edf950df066c.jpg,600,800,0.75
27,./landmark_images/train/17.Changdeokgung/5ae4a4200d15cbd3.jpg,512,800,0.64
28,./landmark_images/train/17.Changdeokgung/0f4d4728f2d0784f.jpg,600,800,0.75
29,./landmark_images/train/17.Changdeokgung/4fdbdb94b2c785fe.jpg,600,800,0.75
30,./landmark_images/train/17.Changdeokgung/08718e60101a0e44.jpg,533,800,0.666
