,filepath,height,width,h / w
0,./landmark_images/test/17.Changdeokgung/059a544666b6d4ed.jpg,531,800,0.664
1,./landmark_images/test/17.Changdeokgung/64ec58adc2675f68.jpg,523,800,0.654
2,./landmark_images/test/17.Changdeokgung/37685c81a071d747.jpg,600,800,0.75
3,./landmark_images/test/17.Changdeokgung/6457e95541d3ea02.jpg,429,800,0.536
4,./landmark_images/test/17.Changdeokgung/59ea401c26710002.jpg,450,800,0.562
5,./landmark_images/test/17.Changdeokgung/50b97c6a3f03eb4a.jpg,800,600,1.333
6,./landmark_images/test/17.Changdeokgung/790399a4639912a8.jpg,533,800,0.666
7,./landmark_images/test/17.Changdeokgung/19eface0e128376c.jpg,533,800,0.666
8,./landmark_images/test/17.Changdeokgung/69f183db2f4660a3.jpg,800,718,1.114
9,./landmark_images/test/17.Changdeokgung/3cdf6c7dceba0a77.jpg,533,800,0.666
10,./landmark_images/test/17.Changdeokgung/5d40d629c8043ac3.jpg,600,800,0.75
11,./landmark_images/test/17.Changdeokgung/6ce24890f967808a.jpg,450,800,0.562
12,./landmark_images/test/17.Changdeokgung/074dd70383ad467e.jpg,533,800,0.666
13,./landmark_images/test/17.Changdeokgung/5856e204147c49fa.jpg,600,800,0.75
14,./landmark_images/test/17.Changdeokgung/5c5e2c1f3cb38863.jpg,503,800,0.629
15,./landmark_images/test/17.Changdeokgung/3f6137b1a7b7f1f7.jpg,800,600,1.333
16,./landmark_images/test/17.Changdeokgung/25d56ce6e60cd0eb.jpg,533,800,0.666
17,./landmark_images/test/17.Changdeokgung/03c05ee9308848ba.jpg,492,800,0.615
18,./landmark_images/test/17.Changdeokgung/59aa07cac9a52f88.jpg,600,800,0.75
19,./landmark_images/test/17.Changdeokgung/17dd06dcfe034b45.jpg,533,800,0.666
20,./landmark_images/test/17.Changdeokgung/0b95751e4ccbbd19.jpg,600,800,0.75
21,./landmark_images/test/17.Changdeokgung/403f464dba81c296.jpg,600,800,0.75
22,./landmark_images/test/17.Changdeokgung/21dd1533b0c242d4.jpg,600,800,0.75
23,./landmark_images/test/17.Changdeokgung/03ac3dce2c188b13.jpg,600,800,0.75
24,./landmark_images/test/17.Changdeokgung/525bce3362dfd8a8.jpg,600,800,0.75
25,./landmark_images/test/22.Moscow_Raceway/3094630c733906c6.jpg,533,800,0.666
26,./landmark_images/test/22.Moscow_Raceway/10b60d664667a518.jpg,533,800,0.666
27,./landmark_images/test/22.Moscow_Raceway/6a87c4ef304dc4b3.jpg,533,799,0.667
28,./landmark_images/test/22.Moscow_Raceway/56f6e1dee98303d0.jpg,533,800,0.666
29,./landmark_images/test/22.Moscow_Raceway/6a8be1b592aad95f.jpg,533,800,0.666
30,./landmark_images/test/22.Moscow_Raceway/4f661fff6a867fa4.jpg,533,800,0.666
31,./landmark_images/test/22.Moscow_Raceway/5034916c489b6a6e.jpg,533,800,0.666
32,./landmark_images/test/22.Moscow_Raceway/629eba7683cc3855.jpg,160,800,0.2
33,./landmark_images/test/22.Moscow_Raceway/01969b4e5e396b31.jpg,533,800,0.666
34,./landmark_images/test/22.Moscow_Raceway/3d8b9568bb0acbf4.jpg,533,800,0.666
35,./landmark_images/test/22.Moscow_Raceway/57f8fff6a108219d.jpg,533,800,0.666
36,./landmark_images/test/22.Moscow_Raceway/16ca5961cf7c0633.jpg,533,800,0.666
37,./landmark_images/test/22.Moscow_Raceway/65d0e760f04a20cb.jpg,533,800,0.666
38,./landmark_images/test/22.Moscow_Raceway/170892c4ac7a91cd.jpg,533,800,0.666
39,./landmark_images/test/22.Moscow_Raceway/6118760a7dd9eb1f.jpg,533,800,0.666
40,./landmark_images/test/22.Moscow_Raceway/28404b82c45cc116.jpg,533,800,0.666
41,./landmark_images/test/22.Moscow_Raceway/44f1ca5a50e7ce91.jpg,533,800,0.666
42,./landmark_images/test/22.Moscow_Raceway/1b347836a5df456b.jpg,600,800,0.75
43,./landmark_images/test/22.Moscow_Raceway/24c03f7ed65f64da.jpg,600,800,0.75
44,./landmark_images/test/22.Moscow_Raceway/41b2243fe42a73b5.jpg,533,800,0.666
45,./landmark_images/test/22.Moscow_Raceway/68defd7b4646127b.jpg,533,800,0.666
46,./landmark_images/test/22.Moscow_Raceway/531ad3035c1fc445.jpg,533,800,0.666
47,./landmark_images/test/22.Moscow_Raceway/7c824dd0aaa1b74c.jpg,533,800,0.666
48,./landmark_images/test/22.Moscow_Raceway/522fe5dbdaf7a4a3.jpg,533,800,0.666
49,./landmark_images/test/22.Moscow_Raceway/068561f02fe21161.jpg,533,800,0.666
50,./landmark_images/test/31.Washington_Monument/1fc55173a1982d99.jpg,582,624,0.933
51,./landmark_images/test/31.Washington_Monument/0e6f2c7e9e484d32.jpg,800,533,1.501
52,./landmark_images/test/31.Washington_Monument/13d9b8c945130b5c.jpg,800,599,1.336
53,./landmark_images/test/31.Washington_Monument/2885526bd4778fa5.jpg,800,600,1.333
54,./landmark_images/test/31.Washington_Monument/26ec0af44aff69a4.jpg,634,800,0.792
55,./landmark_images/test/31.Washington_Monument/0c3164bea3596e19.jpg,665,800,0.831
56,./landmark_images/test/31.Washington_Monument/392bc32d4aa71dbe.jpg,529,800,0.661
57,./landmark_images/test/31.Washington_Monument/2fd7a5551220f54e.jpg,800,800,1.0
58,./landmark_images/test/31.Washington_Monument/37dd0cfccc4e4e1e.jpg,800,515,1.553
59,./landmark_images/test/31.Washington_Monument/4bb3ea3f71a7bd7f.jpg,619,800,0.774
60,./landmark_images/test/31.Washington_Monument/6495a7862a34dfe6.jpg,600,800,0.75
61,./landmark_images/test/31.Washington_Monument/2f78ee2ce3d48b77.jpg,800,800,1.0
62,./landmark_images/test/31.Washington_Monument/09aad0375570fde7.jpg,800,534,1.498
63,./landmark_images/test/31.Washington_Monument/1f0da7241addefd9.jpg,800,633,1.264
64,./landmark_images/test/31.Washington_Monument/107cddd610a9650b.jpg,800,561,1.426
